AIRPORT_CODE,AIRPORT_NAME,CITY_NAME,COUNTRY_NAME,STATE_NAME,STATE_CODE,LATITUDE,LONGITUDE
01A,Afognak Lake Airport,Afognak Lake - AK,United States,Alaska,AK,58.10944444,-152.9066667
03A,Bear Creek Mining Strip,Granite Mountain - AK,United States,Alaska,AK,65.54805556,-161.0716667
04A,Lik Mining Camp,Lik - AK,United States,Alaska,AK,68.08333333,-163.1666667
05A,Little Squaw Airport,Little Squaw - AK,United States,Alaska,AK,67.57,-148.1838889
06A,Kizhuyak Bay,Kizhuyak - AK,United States,Alaska,AK,57.74527778,-152.8827778
07A,Klawock Seaplane Base,Klawock - AK,United States,Alaska,AK,55.55472222,-133.1016667
08A,Elizabeth Island Airport,Elizabeth Island - AK,United States,Alaska,AK,59.15694444,-151.8291667
09A,Augustin Island,Homer - AK,United States,Alaska,AK,59.36277778,-153.4305556
1B1,Columbia County,Hudson - NY,United States,New York,NY,42.29138889,-73.71027778
1B1,Columbia County,Hudson - NY,United States,New York,NY,42.28888889,-73.71027778
1CA,Rio Vista Municipal,Rio Vista - CA,United States,California,CA,38.19333333,-121.7036111
1G4,Grand Canyon West,Peach Springs - AZ,United States,Arizona,AZ,35.98611111,-113.8169444
1G4,Grand Canyon West,Peach Springs - AZ,United States,Arizona,AZ,35.99027778,-113.8163889
1G4,Grand Canyon West,Peach Springs - AZ,United States,Arizona,AZ,35.99027778,-113.8163889
1G4,Grand Canyon West,Peach Springs - AZ,United States,Arizona,AZ,35.98611111,-113.8169444
1GA,Henry County,Hampton - GA,United States,Georgia,GA,33.39,-84.33111111
1N7,Blairstown Airport,Blairstown - NJ,United States,New Jersey,NJ,40.97111111,-74.9975
1NC,Halifax Northampton Regional,Roanoke Rapids - NC,United States,North Carolina,NC,36.43944444,-77.70944444
1NY,Penn Yan Airport,Penn Yan - NY,United States,New York,NY,42.63694444,-77.05277778
1NY,Penn Yan Airport,Penn Yan - NY,United States,New York,NY,42.63722222,-77.05277778
1NY,Penn Yan Airport,Penn Yan - NY,United States,New York,NY,42.63694444,-77.05277778
1TN,Beech River Regional,Lexington Parsons - TN,United States,Tennessee,TN,35.65638889,-88.19527778
1TX,Moore County,Dumas - TX,United States,Texas,TX,35.8575,-102.0133333
2CA,Delano Municipal,Delano - CA,United States,California,CA,35.74555556,-119.2363889
2GA,Camilla Mitchell County,Camilla - GA,United States,Georgia,GA,31.21305556,-84.23527778
2NY,Sands Point Seaplane Base,Port Washington - NY,United States,New York,NY,40.8275,-73.71694444
3GA,Early County,Blakely - GA,United States,Georgia,GA,31.3975,-84.89472222
3NY,Sebonac,Suffolk - NY,United States,New York,NY,40.89861111,-72.41055556
6B0,Middlebury State,Middlebury - VT,United States,Vermont,VT,43.98472222,-73.09583333
6B0,Middlebury State,Middlebury - VT,United States,Vermont,VT,43.98472222,-73.09583333
6B0,Middlebury State,Middlebury - VT,United States,Vermont,VT,43.98555556,-73.09555556
6B0,Middlebury State,Middlebury - VT,United States,Vermont,VT,43.98555556,-73.09555556
7AK,Akun Airport,Akun - AK,United States,Alaska,AK,54.14472222,-165.6041667
8F3,Crosbyton Municipal,Crosbyton - TX,United States,Texas,TX,33.62388889,-101.2408333
A01,Blair Lake,Fairbanks/Ft. Wainwright - AK,United States,Alaska,AK,64.36416667,-147.3613889
A01,Blair Lake,Fairbanks/Ft. Wainwright - AK,United States,Alaska,AK,64.36361111,-147.3638889
A02,Deadmans Bay Airport,Deadmans Bay - AK,United States,Alaska,AK,57.06666667,-153.9377778
A03,Hallo Bay Airport,Hallo Bay - AK,United States,Alaska,AK,58.4575,-154.0233333
A04,Red Lake Airport,Red Lake - AK,United States,Alaska,AK,57.27722222,-154.3422222
A05,Shell Lake Airport,Shell Lake - AK,United States,Alaska,AK,61.96388889,-151.5558333
A06,Navigator Airstrip,Kougarok - AK,United States,Alaska,AK,65.65555556,-165.3563889
A07,Roland Norton Memorial,Selawik - AK,United States,Alaska,AK,66.76611111,-160.1527778
A07,Roland Norton Memorial Airstrip,Selawik - AK,United States,Alaska,AK,66.76583333,-160.1525
A08,Pillar Bay Airport,Pillar Bay - AK,United States,Alaska,AK,56.59805556,-134.2427778
A09,Johnstone Point Airport,Johnstone Point - AK,United States,Alaska,AK,60.48166667,-146.5841667
A09,Johnstone Point Airport,Johnstone Point - AK,United States,Alaska,AK,60.48222222,-146.5822222
A09,Johnstone Point Airport,Johnstone Point - AK,United States,Alaska,AK,60.48166667,-146.5841667
A09,Johnstone Point Airport,Johnstone Point - AK,United States,Alaska,AK,60.48222222,-146.5822222
A11,Bell Creek Airport,Bell Creek - AK,United States,Alaska,AK,60.78388889,-159.5402778
A12,Cinnabar Airport,Cinnabar - AK,United States,Alaska,AK,60.78527778,-158.8644444
A13,Mountaintop Mine Airport,Mountaintop Mine - AK,United States,Alaska,AK,61.39027778,-157.9955556
A14,Whitebear Airport,Whitebear - AK,United States,Alaska,AK,61.18888889,-159.8583333
A15,Puviaq Airport,Puviaq - AK,United States,Alaska,AK,70.71555556,-154.4069444
A15,Puviaq Airport,Puviaq - AK,United States,Alaska,AK,70.71861111,-154.3883333
A16,Arley Lake Airport,Arley Lake - AK,United States,Alaska,AK,70.74694444,-155.3608333
A17,Port Vita Airport,Port Vita - AK,United States,Alaska,AK,58.06555556,-153.0725
A18,Kantishna Airport,Kantishna - AK,United States,Alaska,AK,63.54111111,-150.995
A18,Kantishna Airport,Kantishna - AK,United States,Alaska,AK,63.54166667,-150.9938889
A18,Kantishna Airport,Kantishna - AK,United States,Alaska,AK,63.54111111,-150.995
A18,Kantishna Airport,Kantishna - AK,United States,Alaska,AK,63.54166667,-150.9938889
A1K,Point Thomson Airstrip,Deadhorse1 - AK,United States,Alaska,AK,70.13611111,-146.29
A1L,Cullman Regional Folsom Field,Cullman - AL,United States,Alabama,AL,34.26861111,-86.85805556
A20,Alpine Airstrip,Alpine - AK,United States,Alaska,AK,70.34416667,-150.9447222
A21,Serpentine Airport,Serpentine - AK,United States,Alaska,AK,65.85138889,-164.7027778
A22,Driftwood Bay Airport,Driftwood Bay - AK,United States,Alaska,AK,53.97277778,-166.8569444
A23,Bradley Lake Airport,Bradley Lake - AK,United States,Alaska,AK,59.77611111,-151.9636111
A24,Chilkat Lake Airport,Chilkat Lake - AK,United States,Alaska,AK,59.33166667,-135.8966667
A25,Nugget Creek Airport,Nugget Creek - AK,United States,Alaska,AK,59.28833333,-136.1738889
A26,Ivotuk Airstrip,Ivotuk - AK,United States,Alaska,AK,68.48333333,-155.7333333
A27,Pogo Mines Airport,Pogo Mines - AK,United States,Alaska,AK,64.44,-144.9363889
