FAA ID,AIRPORT NAME,LOCATION,ST,PROCEDURE NAME,LPV or LP,DA OR MDA,VIS,HAT,GPA,TCH,ILS to Rwy (Y/N),Rwy End Cntr,ILS @ Arpt (Y/N),ILS Arpt Cntr (Y/N),ILS CAT II or III,WAAS CHANNEL #
06N,RANDALL,MIDDLETOWN,NY,RNAV (GPS) RWY 26,LP,1020,1,497,,,N,1,N,N,,40030
AST,ASTORIA RGNL,ASTORIA,OR,RNAV (GPS) RWY 08,LP,420,1,406,,,N,1,Y,Y,,40032
C62,KENDALLVILLE MUNI,KENDALLVILLE,IN,RNAV (GPS) RWY 10,LP,1336,1,361,,,N,1,N,N,,40035
K62,GENE SNYDER,FALMOUTH,KY,RNAV (GPS) RWY 21,LP,1340,1,455,,,N,1,N,N,,40036
ORS,ORCAS ISLAND,EASTSOUND,WA,RNAV (GPS) RWY 16,LP,340,1,305,,,N,1,N,N,,40038
ORS,ORCAS ISLAND,EASTSOUND,WA,RNAV (GPS) RWY 16,LP,400,1,365,,,N,1,N,,,40038
COS,CITY OF COLORADO SPRINGS MUNI,COLORADO SPRINGS,CO,RNAV (GPS) RWY 31,LP,6440,1,284,,,N,1,Y,Y,,40040
67L,MESQUITE,MESQUITE,NV,RNAV (GPS) Y RWY 02,LP,4020,1 1/4,2084,,,N,1,N,N,,40043
RRQ,ROCK RAPIDS MUNI,ROCK RAPIDS,IA,RNAV (GPS) RWY 34 AMDT 1,LP,1960,1,597,,,N,1,N,N,,40044
GLS,SCHOLES INTL AT GALVESTON,GALVESTON,TX,RNAV (GPS) RWY 32,LP,340,1,335,,,N,1,Y,Y,,40101
MCW,MASON CITY MUNI,MASON CITY,IA,RNAV (GPS) RWY 30,LP,1680,1,484,,,N,1,Y,Y,,40122
JTC,SPRINGERVILLE MUNI,SPRINGERVILLE,AZ,RNAV (GPS) RWY 21,LP,7520,1,688,,,N,1,N,N,,40124
SHG,SHUNGNAK,SHUNGNAK,AK,RNAV (GPS) RWY 27,LP,540,1,343,,,N,1,N,N,,40126
20N,KINGSTON-ULSTER,KINGSTON,NY,RNAV (GPS) RWY 15,LP,720,1,573,,,N,1,N,N,,40136
4X4,WESSINGTON SPRINGS,WESSINGTON SPRINGS,SD,RNAV (GPS) RWY 30,LP,1880,1,340,,,N,1,N,N,,40141
ELP,EL PASO INTL,EL PASO,TX,RNAV (GPS) Y RWY 26L,LP,4280, 3/4,318,,,N,1,Y,Y,,40223
ETN,EASTLAND MUNI,EASTLAND,TX,RNAV (GPS) RWY 17,LP,2040,1,572,,,N,1,N,N,,40224
FOZ,BIGFORK MUNI,BIGFORK,MN,RNAV (GPS) RWY 33,LP,1860,1,514,,,N,1,N,N,,40226
RVJ,SWINTON SMITH FLD AT REIDSVILLE MUNI,REIDSVILLE,GA,RNAV (GPS) RWY 11,LP,580,1,389,,,N,1,N,N,,40227
ELA,EAGLE LAKE,EAGLE LAKE,TX,RNAV (GPS) RWY 17,LP,580,1,396,,,N,1,N,N,,40229
TTN,TRENTON MERCER,TRENTON,NJ,RNAV (GPS) RWY 34,LP,520,1,318,,,N,1,Y,Y,,40230
9G3,AKRON,AKRON,NY,RNAV (GPS) RWY 25,LP,1240,1,400,,,N,1,N,N,,40233
4M1,CARROLL COUNTY,BERRYVILLE,AR,RNAV (GPS) RWY 07,LP,1660,1,457,,,N,1,N,N,,40242
X07,LAKE WALES MUNI,LAKE WALES,FL,RNAV (GPS) RWY 24,LP,580,1,453,,,N,1,N,N,,40323
L39,LEESVILLE,LEESVILLE,LA,RNAV (GPS) RWY 36,LP,680,1,414,,,N,1,N,N,,40325
MKC,CHARLES B WHEELER DOWNTOWN,KANSAS CITY,MO,RNAV (GPS) RWY 21,LP,1160,1,416,,,N,1,Y,Y,,40327
X23,UMATILLA MUNI,UMATILLA,FL,RNAV (GPS) RWY 19,LP,600,1,493,,,N,1,N,N,,40334
61C,FORT ATKINSON MUNI,FORT ATKINSON,WI,RNAV (GPS) RWY 03,LP,1200,1,400,,,N,1,N,N,,40342
PAQ,"WARREN ""BUD"" WOODS PALMER MUNI",PALMER,AK,RNAV (GPS) RWY 10,LP,760,1,527,,,N,1,N,N,,40425
0G6,WILLIAMS COUNTY,BRYAN,OH,RNAV (GPS) RWY 25,LP,1120,1,390,,,N,1,N,N,,40427
IWS,WEST HOUSTON,HOUSTON,TX,RNAV (GPS) RWY 15,LP,540,1,429,,,N,1,N,N,,40429
OME,NOME,NOME,AK,RNAV (GPS) RWY 10,LP,340,1,324,,,N,1,Y,Y,,40434
54J,DEFUNIAK SPRINGS,DEFUNIAK SPRINGS,FL,RNAV (GPS) RWY 09,LP,620,1,331,,,N,1,N,N,,40441
7W6,HYDE COUNTY,ENGLEHARD,NC,RNAV (GPS) RWY 11 ORIG,LP,360,1,354,,,N,1,N,N,,40442
4N1,GREENWOOD LAKE,WEST MILFORD,NJ,RNAV (GPS) RWY 24,LP,1160,1,370,,,N,1,N,N,,42525
SCM,SCAMMON BAY,SCAMMON BAY,AK,RNAV (GPS) RWY 28,LP,900,1 1/4,886,,,N,1,N,N,,42529
ETH,WHEATON MUNI,WHEATON,MN,RNAV (GPS) RWY 16,LP,1340,1,323,,,N,1,N,N,,42530
3R9,LAKEWAY AIRPARK,LAKEWAY,TX,RNAV (GPS) RWY 16,LP,1340,1,437,,,N,1,N,N,,42531
N96,BELLEFONTE,BELLEFONTE,PA,RNAV (GPS) RWY 07,LP,1540,1,468,,,N,1,N,N,,42534
0I8,CYNTHIANA-HARRISON COUNTY,CYNTHIANA,KY,RNAV (GPS) RWY 29,LP,1240,1,519,,,N,1,N,N,,42537
PCZ,WAUPACA MUNI,WAUPACA,WI,RNAV (GPS) RWY 28,LP,1260,1,433,,,N,1,N,N,,42621
CDW,ESSEX COUNTY,CALDWELL,NJ,RNAV (GPS) RWY 04,LP,620,1,448,,,N,1,N,N,,42622
UBX,CUBA MUNI,CUBA,MO,RNAV (GPS) RWY 36,LP,1480,1,457,,,N,1,N,N,,42624
MDO,MIDDLETON ISLAND,MIDDLETON ISLAND,AK,RNAV (GPS) RWY 20,LP,420,1,320,,,N,1,N,N,,42627
PUB,PUEBLO MEMORIAL,PUEBLO,CO,RNAV (GPS) RWY 35,LP,4980,1,303,,,N,1,Y,Y,,42721
9G0,BUFFALO AIRFIELD,BUFFALO,NY,RNAV (GPS) RWY 24,LP,1160,1,489,,,N,1,N,N,,42724
CDB,COLD BAY,COLD BAY,AK,RNAV (GPS) RWY 26,LP,500,1,400,,,N,1,Y,Y,,42730
CDB,COLD BAY,COLD BAY,AK,RNAV (GPS) RWY 26,LP,660,1,560,,,N,1,Y,,,42730
05U,EUREKA,EUREKA,NV,RNAV (GPS) RWY 18,LP,6360,1,416,,,N,1,N,N,,42732
05U,EUREKA,EUREKA,NV,RNAV (GPS) RWY 18,LP,7660,1 1/4,1716,,,N,1,N,,,42732
4J5,QUITMAN BROOKS COUNTY,QUITMAN,GA,RNAV (GPS) RWY 10,LP,740,1,558,,,N,1,N,N,,42734
6Y1,BOIS BLANC ISLAND,BOIS BLANC ISLAND,MI,RNAV (GPS) RWY 28,LP,1040,1,376,,,N,1,N,N,,42735
C73,DIXON MUNI-CHARLES R WALGREEN FIELD,DIXON,IL,RNAV (GPS) RWY 08,LP,1440,1,658,,,N,1,N,N,,42821
KY8,HANCOCK CO-RON LEWIS FIELD,LEWISPORT,KY,RNAV (GPS) RWY 05,LP,1020,1,610,,,N,1,N,N,,42824
E19,GRUVER MUNI,GRUVER,TX,RNAV (GPS) RWY 20,LP,3720,1,533,,,N,1,N,N,,42826
GYR,PHOENIX GOODYEAR,GOODYEAR,AZ,RNAV (GPS) RWY 03,LP,1340,1,386,,,N,1,N,N,,42839
C20,ANDREWS UNIVERSITY AIRPARK,BERRIEN SPRINGS,MI,RNAV (GPS) RWY 31,LP,1100,1,431,,,N,1,N,N,,42840
9V9,CHAMBERLAIN MUNI,CHAMBERLAIN,SD,RNAV (GPS) RWY 13,LP,2080,1,384,,,N,1,N,N,,42841
