airport_code,viz_count,avg_visibility,median_visibility,max_visibility,min_visibility,std_visibility,AIRPORT NAME,LOCATION,ST,PROCEDURE NAME,LPV or LP,DA OR MDA,VIS,HAT,ILS to Rwy (Y/N),Rwy End Cntr,ILS @ Arpt (Y/N),WAAS CHANNEL #
KSLC,18,3.5347222222222223,2.25,10.0,0.125,3.200357733782742,SALT LAKE CITY INTL,SALT LAKE CITY,UT,RNAV (GPS) RWY 35,LP,4560,2400,336,N,1.0,Y,77722
KFSD,18,3.5416666666666665,2.25,10.0,0.25,3.192650107024312,JOE FOSS FIELD,SIOUX FALLS,SD,RNAV (GPS) RWY 33,LPV,1729,1,305,N,1.0,Y,40135
KCEC,17,3.735294117647059,2.5,10.0,0.25,3.180102430832729,JACK MC NAMARA FIELD,CRESCENT CITY,CA,RNAV (GPS) RWY 36,LPV,301,1,250,N,1.0,Y,72927
KGRR,16,3.859375,2.75,10.0,0.25,3.24161578794691,GERALD R FORD INTL,GRAND RAPIDS,MI,RNAV (GPS) RWY 08R,LPV,994,2400,200,Y,1.0,Y,40113
KIDA,16,3.875,2.75,10.0,0.25,3.2300670787668375,IDAHO FALLS RGNL,IDAHO FALLS,ID,RNAV (GPS) Y RWY 21,LPV,4935,2400,200,Y,1.0,Y,40111
KAPA,16,3.953125,2.75,10.0,0.5,3.1506861025285695,CENTENNIAL,DENVER,CO,RNAV (GPS) RWY 35R,LPV,6085, 0.5,200,Y,1.0,Y,40339
KTVC,16,3.953125,2.75,10.0,0.5,3.1506861025285695,CHERRY CAPITAL,TRAVERSE CITY,MI,RNAV (GPS) RWY 18,LP,1100,1,478,N,1.0,Y,90335
KACV,16,3.890625,2.75,10.0,0.25,3.2171011148755224,CALIFORNIA REDWOOD COAST-HUMOLDT COUNTY,ARCATA/EUREKA,CA,RNAV (GPS) RWY 14,LPV,455,4500,250,N,1.0,Y,62801
KBIL,16,3.7109375,2.5,10.0,0.125,3.3602203393775634,BILLINGS LOGAN INTL,BILLINGS,MT,RNAV (GPS) RWY 10L,LPV,3785,2400,200,Y,1.0,Y,50122
KLMT,15,4.05,3.0,10.0,0.25,3.263980917311164,CRATER LAKE-KLAMATH RGNL,KLAMATH FALLS,OR,RNAV (GPS) RWY 14,LPV,4635,2,544,N,1.0,Y,58001
KDDC,15,4.083333333333333,3.0,10.0,0.25,3.230251353923377,DODGE CITY RGNL,DODGE CITY,KS,RNAV (GPS) RWY 14,LPV,2836, 0.5,250,Y,1.0,Y,65609
