tail_number,date,aircraft,origin_code,origin,destination_code,destination,departure,arrival,duration,distance_mi,Owner,origin_Latitude,origin_Longitude,destination_Latitude,destination_Longitude,airport_origin,city_origin,origin_state,country_origin,airport_destination,city_destination,destination_state,country_destination,departure_shift,arrival_shift,duration_min,day_name,weekends
N381HC,2021-03-06,BE20,KSLC,Salt Lake City Intl (KSLC),KSGU,St George Rgnl (KSGU),10:14PM MST,11:15PM MST,1:01,271.6586946916214,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,37.036389,-113.510306,Salt Lake City International Airport,Salt Lake City,UT,US,St George Municipal Airport,St George,UT,US,night,night,61,Saturday,1
N381HC,2021-03-06,BE20,KSGU,St George Rgnl (KSGU),KSLC,Salt Lake City Intl (KSLC),07:37PM MST,08:35PM MST,0:57,271.6586946916214,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.036389,-113.510306,40.78839874267578,-111.97799682617188,St George Municipal Airport,St George,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,night,night,57,Saturday,1
N381HC,2021-03-01,BE20,KAZC,"Colorado City, AZ",KSGU,St George Rgnl (KSGU),12:39PM MST,12:51PM MST,0:11,26.392105779084112,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.00656,-113.03445,37.036389,-113.510306,Colorado City Municipal Airport,Colorado City,AZ,US,St George Municipal Airport,St George,UT,US,day,day,11,Monday,0
N381HC,2021-03-01,BE20,KSGU,St George Rgnl (KSGU),KAZC,Colorado City Muni (KAZC),11:37AM MST,12:39PM MST,1:01,27.953111909316554,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.036389,-113.510306,36.95989990234375,-113.01399993896484,St George Municipal Airport,St George,UT,US,Colorado City Municipal Airport,Colorado City,AZ,US,day,day,61,Monday,0
N381HC,2021-02-28,BE20,KFLG,Flagstaff Pulliam (KFLG),KSGU,St George Rgnl (KSGU),09:07PM MST,09:51PM MST,0:44,166.47993233506628,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",35.13850021,-111.6709976,37.036389,-113.510306,Flagstaff Pulliam Airport,Flagstaff,AZ,US,St George Municipal Airport,St George,UT,US,night,night,44,Sunday,1
N381HC,2021-02-28,BE20,KPGA,Page Muni (KPGA),KFLG,Flagstaff Pulliam (KFLG),07:18PM MST,07:48PM MST,0:29,123.88092524905794,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",36.92610168,-111.447998,35.13850021,-111.6709976,Page Municipal Airport,Page,AZ,US,Flagstaff Pulliam Airport,Flagstaff,AZ,US,night,night,29,Sunday,1
N381HC,2021-02-28,BE20,KSGU,St George Rgnl (KSGU),KPGA,Page Muni (KPGA),04:37PM MST,05:05PM MST,0:28,114.34371869633068,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.036389,-113.510306,36.92610168,-111.447998,St George Municipal Airport,St George,UT,US,Page Municipal Airport,Page,AZ,US,day,day,28,Sunday,1
N381HC,2021-02-27,BE20,KKNB,Kanab Muni (KKNB),KSGU,St George Rgnl (KSGU),07:45PM MST,08:01PM MST,0:16,54.175801472886924,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.01110076904297,-112.53099822998048,37.036389,-113.510306,Kanab Municipal Airport,Kanab,UT,US,St George Municipal Airport,St George,UT,US,night,night,16,Saturday,1
N381HC,2021-02-27,BE20,KSLC,Salt Lake City Intl (KSLC),KKNB,Kanab Muni (KKNB),06:29PM MST,07:24PM MST,0:54,262.2583148047357,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,37.01110076904297,-112.53099822998048,Salt Lake City International Airport,Salt Lake City,UT,US,Kanab Municipal Airport,Kanab,UT,US,day,night,54,Saturday,1
N381HC,2021-02-27,BE20,KSGU,St George Rgnl (KSGU),KSLC,Salt Lake City Intl (KSLC),05:11PM MST,06:09PM MST,0:57,271.6586946916214,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",37.036389,-113.510306,40.78839874267578,-111.97799682617188,St George Municipal Airport,St George,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,day,57,Saturday,1
