tail_number,home_loc,total_flights,one_loc,two_loc,three_loc,four_loc,city_origin,origin_state,Owner
N986AC,Joe Foss Field Airport,301,61,23,3,4,Sioux Falls,SD,"AVERA MCKENNANSIOUX FALLS, SD, US(Corporation)"
N982SB,Jack Mc Namara Field Airport,303,70,34,12,1,Crescent City,CA,"CAL-ORE LIFE FLIGHT LLCBROOKINGS, OR, US"
N977TC,William P Hobby Airport,168,79,3,0,0,Houston,TX,"TEXAS CHILDRENS HOSPITALHOUSTON, TX, US(Corporation)"
N972AM,Flagler Executive Airport,1,0,0,0,0,Palm Coast,FL,"CENTRAL VIRGINIA AVIATION INCNORTH DINWIDDIE, VA, US(Corporation)"
N970NA,Montgomery-Gibbs Executive Airport,62,21,3,1,1,San Diego,CA,"NATIVE AMERICAN AIR SERVICE INCGREENWOOD VILLAGE, CO, US(Corporation)"
N959MA,North Platte Regional Airport Lee Bird Field,207,27,43,1,3,North Platte,NE,"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)"
N959EN,Piedmont Triad International Airport,22,3,0,1,0,Greensboro,NC,"EFN 959 LLCSUGAR GROVE, IL, US"
N94GP,Gillespie Field,67,1,2,0,0,San Diego/El Cajon,CA,"JR AVIATION LLCEL CAJON, CA, US"
N949BW,Nome Airport,27,4,0,1,1,Nome,AK,"BERING AIR INCNOME, AK, US(Corporation)"
N917TL,Fort Worth Meacham International Airport,116,54,2,0,0,Fort Worth,TX,"COOK CHILDRENS HEALTH ENTERPRISESFORT WORTH, TX, US(Corporation)"
N913RX,Redding Municipal Airport,144,20,25,1,3,Redding,CA,"REACH AIR MEDICAL SERVICES LLCSANTA ROSA, CA, US"
N912SV,Billings Logan International Airport,199,79,13,0,0,Billings,MT,"SAINT VINCENTS HEALTHCAREBILLINGS, MT, US(Corporation)"
N912SM,Grand Junction Regional Airport,141,29,25,1,0,Grand Junction,CO,"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)"
N912NM,Four Corners Regional Airport,322,136,8,6,0,Farmington,NM,"SAN JUAN REGIONAL MEDICAL CENTER INCFARMINGTON, NM, US(Corporation)"
N912MN,Joe Foss Field Airport,232,92,14,1,0,Sioux Falls,SD,"AVERA MCKENNANSIOUX FALLS, SD, US(Corporation)"
N912MF,California Redwood Coast-Humboldt County Airport,215,45,28,9,0,Arcata/Eureka,CA,"METRO AVIATION INCSHREVEPORT, LA, US(Corporation)"
N911WN,Western Neb. Rgnl/William B. Heilig Airport,212,38,41,0,2,Scottsbluff,NE,"GUARDIAN FLIGHT LLCSOUTH JORDAN, UT, US"
N911VU,Nashville International Airport,143,44,15,2,0,Nashville,TN,"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)"
N911RX,Mc Clellan Airfield,186,17,19,7,3,Sacramento,CA,"REACH AIR MEDICAL SERVICES LLCSANTA ROSA, CA, US"
N911RL,Rapid City Regional Airport,123,29,8,0,0,Rapid City,SD,"DALE AVIATION INCRAPID CITY, SD, US(Corporation)"
N911MN,Joe Foss Field Airport,310,69,31,2,2,Sioux Falls,SD,"AVERA MCKENNANSIOUX FALLS, SD, US(Corporation)"
N911CM,Charles B. Wheeler Downtown Airport,132,62,2,0,0,Kansas City,MO,"PHI HEALTH LLCLAFAYETTE, LA, US"
N910NF,Indianapolis International Airport,24,2,4,1,0,Indianapolis,IN,"GRACE ON WINGS INCINDIANAPOLIS, IN, US(Corporation)"
N910GF,Great Falls International Airport,195,74,15,0,0,Great Falls,MT,"CORSAIR TWO LLCHILLSBORO, OR, US"
N901LM,Bangor International Airport,176,55,20,1,0,Bangor,ME,"LIFEFLIGHT OF MAINE LLCBANGOR, ME, US"
N888CP,Aurora Municipal Airport,96,6,12,10,0,Chicago/Aurora,IL,"AEROCARE MEDICAL TRANSPORT SYSTEMS INCSUGAR GROVE, IL, US(Corporation)"
N881JP,Rick Husband Amarillo International Airport,27,6,0,2,0,Amarillo,TX,"COWBOY AVIATION LLCAMARILLO, TX, US"
N87TS,Fairbanks International Airport,38,10,1,2,1,Fairbanks,AK,"RWR AIR INCTOK, AK, US(Corporation)"
N854AL,Rapid City Regional Airport,301,71,38,5,3,Rapid City,SD,"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)"
N853AL,Bend Municipal Airport,225,38,14,5,7,Bend,OR,"METRO AVIATION INCSHREVEPORT, LA, US(Corporation)"
N852AL,Bend Municipal Airport,1,0,0,0,0,Bend,OR,"METRO AVIATION INCSHREVEPORT, LA, US(Corporation)"
N847BA,Flying Cloud Airport,87,13,7,7,2,Minneapolis,MN,"BEECH TRANSPORTATION INCEDEN PRAIRIE, MN, US(Corporation)"
N8287E,San Antonio International Airport,136,42,14,2,0,San Antonio,TX,"AIRMED INTERNATIONAL LLCBIRMINGHAM, AL, US"
N827HB,Wiley Post Will Rogers Memorial Airport,116,44,3,3,1,Barrow,AK,"NORTH SLOPE BOROUGH DEPARTMENT OF SEARCH & RESCUEBARROW, AK, US(Government)"
N825DL,Eagle County Regional Airport,4,1,0,0,0,Eagle,CO,"SUNAIR LLCASPEN, CO, US"
N821CT,Lamar Municipal Airport,58,0,5,4,0,Lamar,MO,"CHARLIE TANGO LLCCLAREMORE, OK, US"
N813JB,Colonel James Jabara Airport,287,45,40,5,8,Wichita,KS,"AIRMD LLCWICHITA, KS, US"
N805AH,Laurence G Hanscom Field,71,31,1,1,0,Bedford,MA,"NEW ENGLAND LIFE FLIGHT INC DBABEDFORD, MA, US(Corporation)"
N796PC,Idaho Falls Regional Airport,226,68,26,1,1,Idaho Falls,ID,"AIR METHODS CORPGREENWOOD VILLAGE, CO, US(Corporation)"
N793DC,Billings Logan International Airport,236,95,12,2,0,Billings,MT,"BILLINGS CLINICBILLINGS, MT, US(Corporation)"
N791DC,Billings Logan International Airport,231,104,7,0,0,Billings,MT,"BILLINGS CLINICBILLINGS, MT, US(Corporation)"
N789SR,Licenciado Adolfo Lopez Mateos International Airport,14,1,0,0,1,Toluca,Estado de Mexico,"BANK OF UTAH TRUSTEESALT LAKE CITY, UT, US(Corporation)"
