tail_number,date,aircraft,origin_code,origin,destination_code,destination,departure,arrival,duration,distance_mi,Owner,origin_Latitude,origin_Longitude,destination_Latitude,destination_Longitude,airport_origin,city_origin,origin_state,country_origin,airport_destination,city_destination,destination_state,country_destination,departure_shift,arrival_shift,day_name,weekends
N271HC,2021-03-11,A109,KSLC,"Salt Lake City, UT",KSLC,Salt Lake City Intl (KSLC),07:29AM MST,07:34AM MST (?),5.0,8.51979819201843,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.6851,-111.88908,40.78839874267578,-111.97799682617188,Salt Lake City International Airport,Salt Lake City,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,day,Thursday,0
N271HC,2021-03-10,A109,KLGU,"Logan, UT",1UT9,"Salt Lake City, UT",11:43AM MST,12:58PM MST,74.0,75.63022437664449,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",41.75491,-111.82136,40.66017,-111.88982,Logan-Cache Airport,Logan,UT,US,Tri-Arc Heliport,Salt Lake City,UT,US,day,day,Wednesday,0
N271HC,2021-03-10,A109,KSLC,"Salt Lake City, UT",KLGU,"Logan, UT",10:34AM MST,11:43AM MST,68.0,74.2760509760099,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.68019,-111.89026,41.75524,-111.82063,Salt Lake City International Airport,Salt Lake City,UT,US,Logan-Cache Airport,Logan,UT,US,day,day,Wednesday,0
N271HC,2021-03-09,A109,KSLC,Salt Lake City Intl (KSLC),1UT9,"Salt Lake City, UT",04:03PM MST,04:07PM MST,3.0,9.630855964989957,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,40.66347,-111.89619,Salt Lake City International Airport,Salt Lake City,UT,US,Tri-Arc Heliport,Salt Lake City,UT,US,day,day,Tuesday,0
N271HC,2021-03-09,A109,KSLC,"Salt Lake City, UT",KSLC,Salt Lake City Intl (KSLC),08:51AM MST,08:58AM MST,6.0,7.365780777065349,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.69933,-111.90064,40.78839874267578,-111.97799682617188,Salt Lake City International Airport,Salt Lake City,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,day,Tuesday,0
N271HC,2021-03-07,A109,KBTF,"Bountiful, UT",1UT9,"Salt Lake City, UT",10:07AM MST,11:31AM MST,83.0,7.516045766328782,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.76358,-111.84479,40.66017,-111.88976,Skypark Airport,Bountiful,UT,US,Tri-Arc Heliport,Salt Lake City,UT,US,day,day,Sunday,1
N271HC,2021-03-07,A109,KSLC,"Salt Lake City, UT",KBTF,"Bountiful, UT",07:39AM MST,07:43AM MST,4.0,10.476492819778407,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.66237,-111.86534,40.72259,-111.68223,Salt Lake City International Airport,Salt Lake City,UT,US,Skypark Airport,Bountiful,UT,US,day,day,Sunday,1
N271HC,2021-03-07,A109,KSLC,"Salt Lake City, UT",KBTF,"Bountiful, UT",02:03AM MST,03:22AM MST,78.0,7.6041590094578995,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.68552,-111.88631,40.79555,-111.87824,Salt Lake City International Airport,Salt Lake City,UT,US,Skypark Airport,Bountiful,UT,US,night,night,Sunday,1
N271HC,2021-03-06,A109,KSLC,Salt Lake City Intl (KSLC),1UT9,"Salt Lake City, UT",02:20PM MST,02:24PM MST,4.0,10.057857156519916,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.78839874267578,-111.97799682617188,40.66007000000001,-111.88714,Salt Lake City International Airport,Salt Lake City,UT,US,Tri-Arc Heliport,Salt Lake City,UT,US,day,day,Saturday,1
N271HC,2021-03-06,A109,KSLC,"Salt Lake City, UT",KSLC,Salt Lake City Intl (KSLC),10:00AM MST,10:31AM MST,30.0,12.917534476232928,"IHC HEALTH SERVICES INCSALT LAKE CITY, UT, US(Corporation)",40.6165,-111.88058,40.78839874267578,-111.97799682617188,Salt Lake City International Airport,Salt Lake City,UT,US,Salt Lake City International Airport,Salt Lake City,UT,US,day,day,Saturday,1
